"lat","lon","city","idx","stamp","pol","x","aqi","tz","utime","img"
25.7054,100.1542,"Dali City Environmental Monitoring Station, Dali (大理州大理市环境监测站)",1387,1524744000,"pm25","7223","89","+0800","2018-04-26 20:00:00","_c_azyk0t0H-6ZPnzCW1Pt8-DsXY0Pe9b_3RR8_PZE59t7X6-eiYA"
19.95,79.3,"Chandrapur, Chandrapur, India",2813,1524742200,"pm25","8682","80","+0530","2018-04-26 17:00:00","_8_Szcs5IzEspSiwoLdJHMAE"
35.2102,128.1241,"Sangdae-dong, Jinju-si, Gyeongnam, South Korea (대한민국진주시 상대동 경남)",1778,1524744000,"pm25","4015","78","+0900","2018-04-26 21:00:00","_8w6ycq9Mzc9Lz0vM1ffKzMsq1S3O1A9OzEtPSUzVTQFKAAA"
47.3636,123.9305,"Anju Compound, Qiqihaer (齐齐哈尔安居小区)",1144,1524740400,"pm25","3631","61","+0800","2018-04-26 19:00:00","_c_azyk0t0H-5dwIQPZ3c8XTDFP2n6zqfbmx9uqH_ac8uAA"
39.5371,75.9828,"Patrol unit, Kashi (喀什地区巡警大队)",1377,1524744000,"pm25","7239","57","+0800","2018-04-26 20:00:00","_ASAA3_9DTjptZXAv5ZaA5LuA5Zyw5Yy6L-W3oeitpuWkp-mYnw"
28.14527778,120.2836111,"青田二中, Qīngtián, Lishui (丽水市青田县青田二中)",915,1524736800,"pm25","4830","155","+0800","2018-04-26 18:00:00","_ASIA3f9DTjpaaGVqaWFuZy_kuL3msLTluIIv6Z2S55Sw5LqM5Lit"
28.5808,112.3458,"City EPA, Yiyang (益阳市环保局)",1561,1524740400,"pm25","7074","154","+0800","2018-04-26 19:00:00","_c_azyk0t0H8-u-vljM36T3c0Pe9b_2T_3KcbGwA"
25.1328,99.1711,"City EPA, Baoshan (保山市环保局)",1363,1524744000,"pm25","7208","147","+0800","2018-04-26 20:00:00","_c_azyk0t0H-yf-7TjRv1n-5oet63HsxpAAA"
34.6778114,131.851239,"Showacho, Masuda, Shimane, Japan (日本益田合同庁舎一般環境大気測定局益田市)",1795,1524740400,"pm25","2392","53","+0900","2018-04-26 20:00:00","_8wqwej676_mUDU93NOlDWRM6nk7oebqr8UVH35MdDS861jyftOHpouanS5Y_2zD92Y41T9fNerqxAQA"
44.3336,84.8983,"Dushanzi District, Karamay (克拉玛依独山子区)",1185,1524744000,"pm25","4298","50","+0800","2018-04-26 20:00:00","_ASAA3_9DTjptZXAv5YWL5ouJ546b5L6dL-eLrOWxseWtkOWMug"
19.91205,109.69053,"Commission compound Archives , Lingaoxian (临高县委大院档案馆)",1495,1524740400,"pm25","5254","72","+0800","2018-04-26 19:00:00","_ASMA3P9DTjptZXAv5Li06auY5Y6_L-WnlOWkp-mZouaho-ahiOmmhg"
37.51363425,122.1412574,"Lantian Hotel, Weihai (威海蓝天宾馆)",516,1524744000,"pm25","591","152","+0800","2018-04-26 20:00:00","_ASAA3_9DTjpTaGFuZ2Rvbmcv5aiB5rW3L-iTneWkqeWuvummhg"
37.7805,112.488,"Jinsheng, Taiyuan (太原金胜)",983,1524740400,"pm25","1246","119","+0800","2018-04-26 19:00:00","_c_azyk0t0H-6ZNXTvvn6L9snvmieAwA"
34.2303,108.883,"Gaoxin West Area, Xian (西安高新西区)",1090,1524744000,"pm25","1395","114","+0800","2018-04-26 20:00:00","_c_azyk0t0H-xdP_TdZ36L1fPeDZtA4jTswsA"
40.916,107.5936,"qiū lín yǎngzhí jīdì, Bayannur (巴彦淖尔秋林养殖基地)",1484,1524744000,"pm25","7305","38","+0800","2018-04-26 20:00:00","_ASYA2f9DTjptZXAv5be05b2m5reW5bCUL-eni-ael-WFu-auluWfuuWcsA"
45.8309,130.9467,"Hú tóu gōu, Qitaihe (七台河葫头沟)",1418,1524736800,"pm25","7845","110","+0800","2018-04-26 18:00:00","_ARoA5f9DTjptZXAv5LiD5Y-w5rKzL-iRq-WktOaynw"
43.8711,87.5525,"Railway Bureau, Wulumuqi (乌鲁木齐铁路局)",1069,1524740400,"pm25","1416","95","+0800","2018-04-26 19:00:00","_AR0A4v9DTjptZXAv5LmM6bKB5pyo6b2QL-mTgei3r-WxgA"
38.2839,109.7289,"Experimental Middle  School, Yulin (榆林实验中学)",1643,1524740400,"pm25","7853","73","+0800","2018-04-26 19:00:00","_ARoA5f9DTjptZXAv5qaG5p6XL-WunumqjOS4reWtpg"
29.7207,118.3236,"Huangshandong road, no 89, Huangshan (黄山黄山东路89号)",1485,1524740400,"pm25","7117","119","+0800","2018-04-26 19:00:00","_c_azyk0t0H-5u-Xpxo1Q6smOOS-2r7ewfNq_HQA"
